,State,Area_name,"Percent of adults with less than a high school diploma, 2016-20","Percent of adults with a high school diploma only, 2016-20","Percent of adults completing some college or associate's degree, 2016-20",Percent of adults with a bachelor's degree or higher 2016-20,PCTPOVALL_2020,Population 2020,Population 2021,Median_Household_Income_2020,Med_HH_Income_Percent_of_State_Total_2020,Unemployment_rate_2020,Average Precipitation,Average Temperature,rent
65,AL,Walker County,18.3,35.0,33.2,13.4,16.4,"65,342","64,818","46,519",86.2,6.5,3.13,62.4,6544.066666666667
66,AL,Washington County,14.1,44.2,27.3,14.4,17.5,"15,388","15,147","36,346",67.4,8.9,2.81,65.9,6054.466666666666
67,AL,Wilcox County,20.7,40.4,27.2,11.7,22.2,"10,600","10,446","31,909",59.1,16.2,2.61,65.4,6340.066666666667
68,AL,Winston County,21.6,38.7,26.5,13.3,17.4,"23,540","23,652","46,453",86.1,5.2,3.17,61.1,6400.066666666667
71,AK,Aleutians East Borough,13.4,40.7,29.4,16.6,15.1,"3,420","3,398","79,128",99.0,4.1,5.3,38.3,12167.266666666666
72,AK,Aleutians West Census Area,8.2,42.5,32.3,17.0,8.1,"5,232","5,059","92,216",115.3,4.7,7.5,39.8,19753.666666666668
74,AK,Bethel Census Area,16.5,48.7,23.5,11.3,25.3,"18,666","18,557","52,214",65.3,12.2,1.86,29.2,18306.466666666667
75,AK,Bristol Bay Borough,6.2,29.9,38.0,25.8,10.7,844,838,"87,032",108.8,7.9,2.22,34.6,14000.866666666667
78,AK,Denali Borough,2.3,30.2,28.5,39.1,6.4,"1,619","1,593","80,192",100.3,17.2,1.89,22.1,17639.266666666666
79,AK,Dillingham Census Area,13.5,40.1,27.0,19.4,18.7,"4,857","4,772","72,334",90.5,8.8,2.69,32.3,15323.266666666666
80,AK,Fairbanks North Star Borough,5.5,24.1,38.0,32.3,7.2,"95,655","95,593","76,650",95.9,6.7,1.13,23.5,17149.666666666668
81,AK,Haines Borough,2.0,34.2,36.1,27.7,9.6,"2,080","2,071","105,044",131.4,16.4,14.27,33.6,11339.266666666666
82,AK,Hoonah-Angoon Census Area,6.0,36.4,38.0,19.6,12.7,"2,365","2,332","55,593",69.5,13.9,21.45,37.3,9337.666666666666
84,AK,Kenai Peninsula Borough,7.0,31.3,35.9,25.8,10.6,"58,799","59,767","68,448",85.6,9.5,8.04,31.8,12892.066666666668
85,AK,Ketchikan Gateway Borough,6.1,30.7,37.7,25.5,8.3,"13,948","13,754","76,780",96.0,10.2,21.94,40.6,16444.066666666666
86,AK,Kodiak Island Borough,10.4,27.1,32.6,29.8,7.5,"13,101","12,787","72,028",90.1,6.6,7.56,37.1,14012.866666666667
87,AK,Kusilvak Census Area,21.4,54.2,21.1,3.3,27.9,"8,368","8,360","37,566",47.0,20.6,1.59,29.6,9995.266666666666
89,AK,Lake and Peninsula Borough,11.8,35.7,29.4,23.1,17.6,"1,476","1,416","54,386",68.0,11.4,4.15,34.3,10211.266666666666
90,AK,Matanuska-Susitna Borough,6.4,33.9,37.7,21.9,8.7,"107,081","110,686","89,502",111.9,8.7,3.6,26.7,13172.866666666667
91,AK,Nome Census Area,14.0,43.3,25.8,17.0,18.8,"10,046","9,865","64,309",80.4,10.9,1.57,26.0,18642.466666666667
92,AK,North Slope Borough,11.3,41.0,32.6,15.1,11.1,"11,031","10,972","94,759",118.5,6.1,0.92,13.4,15342.466666666667
93,AK,Northwest Arctic Borough,15.5,46.9,22.6,15.0,18.5,"7,793","7,560","65,194",81.5,12.6,1.3,20.2,15488.866666666667
95,AK,Prince of Wales-Hyder Census Area,8.7,38.1,35.9,17.2,15.9,"5,753","5,729","53,638",67.1,9.7,16.78,43.5,11538.466666666667
98,AK,Skagway Municipality,11.5,30.4,34.0,24.2,3.8,"1,240","1,132","78,421",98.1,21.5,12.76,29.9,16669.666666666668
101,AK,Southeast Fairbanks Census Area,8.9,35.2,34.6,21.2,11.7,"6,808","6,970","64,544",80.7,7.7,1.32,21.8,15632.866666666667
107,AK,Yukon-Koyukuk Census Area,12.0,42.1,32.7,13.2,20.5,"5,343","5,275","43,060",53.9,12.6,1.25,21.5,9116.866666666667
109,AZ,Apache County,18.5,31.2,37.7,12.5,32.4,"66,021","65,623","36,319",56.2,12.5,1.15,51.3,7909.666666666667
110,AZ,Cochise County,11.3,24.0,39.2,25.6,14.6,"125,447","126,050","51,171",79.1,6.8,0.94,61.9,9575.266666666666
111,AZ,Coconino County,9.0,21.7,31.6,37.6,17.2,"145,101","145,052","57,146",88.4,9.5,0.99,53.1,14653.666666666666
112,AZ,Gila County,12.7,28.7,39.4,19.2,16.7,"53,272","53,589","49,280",76.2,7.5,1.47,60.5,9272.866666666667
113,AZ,Graham County,14.7,30.3,40.1,14.8,15.2,"38,533","39,050","55,419",85.7,6.2,1.11,62.0,9760.066666666668
114,AZ,Greenlee County,14.8,30.4,37.9,16.8,8.4,"9,563","9,404","67,530",104.5,5.2,1.37,57.5,7072.066666666667
115,AZ,La Paz County,19.5,33.1,35.6,11.8,20.8,"16,557","16,408","41,637",64.4,7.0,0.38,71.7,8610.466666666667
116,AZ,Maricopa County,11.6,22.4,32.6,33.4,11.6,"4,420,568","4,496,588","71,799",111.1,7.2,0.61,70.9,12976.066666666668
117,AZ,Mohave County,13.6,34.3,38.7,13.4,15.3,"213,267","217,692","46,678",72.2,9.7,0.72,63.0,8567.266666666666
118,AZ,Navajo County,16.2,29.2,38.5,16.1,23.3,"106,717","108,147","46,698",72.2,9.9,1.06,52.6,8461.666666666666
119,AZ,Pima County,11.0,21.5,33.9,33.6,14.9,"1,043,433","1,052,030","56,551",87.5,7.5,0.76,68.5,10568.866666666667
120,AZ,Pinal County,12.9,30.3,35.8,20.9,11.1,"425,264","449,557","66,992",103.6,7.3,0.78,69.5,12976.066666666668
121,AZ,Santa Cruz County,22.1,27.5,29.4,20.9,16.8,"47,669","47,883","44,402",68.7,11.2,1.0,62.0,7561.666666666667
122,AZ,Yavapai County,8.2,26.2,39.4,26.3,10.8,"236,209","242,253","58,860",91.0,7.3,1.04,59.9,10667.266666666666
123,AZ,Yuma County,25.4,26.6,32.5,15.4,15.2,"203,881","206,990","54,278",84.0,16.9,0.36,72.7,9169.666666666666
125,AR,Arkansas County,14.0,43.0,26.6,16.4,17.2,"17,149","16,722","51,186",100.1,4.0,3.27,63.3,6392.866666666667
126,AR,Ashley County,14.8,48.6,24.4,12.2,17.1,"19,062","18,674","44,677",87.4,9.4,3.18,64.0,6366.466666666666
127,AR,Baxter County,11.2,35.1,35.9,17.8,14.4,"41,627","42,144","44,833",87.7,6.0,3.22,58.8,6983.266666666666
128,AR,Benton County,10.4,28.9,26.1,34.6,9.1,"284,333","293,692","78,678",153.8,4.5,3.62,59.2,8591.266666666666
129,AR,Boone County,11.8,34.4,36.1,17.8,14.1,"37,373","37,830","48,153",94.1,5.3,3.29,58.8,6829.666666666667
130,AR,Bradley County,16.7,42.8,26.7,13.8,20.6,"10,545","10,408","41,578",81.3,5.9,3.28,63.6,6481.666666666667
131,AR,Calhoun County,16.0,45.3,27.9,10.7,16.2,"4,739","4,741","50,865",99.5,5.3,3.33,63.6,6800.866666666667
132,AR,Carroll County,13.7,36.0,29.1,21.2,14.1,"28,260","28,435","45,397",88.8,5.7,3.41,58.9,6503.266666666666
133,AR,Chicot County,21.8,37.8,25.7,14.6,26.8,"10,208","10,019","35,992",70.4,10.5,3.06,64.3,6697.666666666667
134,AR,Clark County,11.1,32.6,31.2,25.2,20.1,"21,446","21,321","46,464",90.8,6.0,3.64,63.3,6611.266666666666
135,AR,Clay County,16.5,41.4,28.5,13.6,18.1,"14,552","14,350","43,723",85.5,6.1,3.19,60.2,6635.266666666666
136,AR,Cleburne County,13.4,40.8,29.1,16.7,14.5,"24,711","25,015","49,964",97.7,7.6,3.59,60.5,7115.266666666666
137,AR,Cleveland County,10.5,46.1,27.5,15.9,13.8,"7,550","7,514","57,697",112.8,6.1,3.39,63.3,7360.066666666667
138,AR,Columbia County,13.2,41.7,24.6,20.5,18.3,"22,801","22,672","44,925",87.8,6.9,3.29,64.4,6822.466666666666
139,AR,Conway County,13.4,41.2,27.7,17.7,15.8,"20,715","20,873","47,049",92.0,6.1,3.58,61.5,6464.866666666667
140,AR,Craighead County,10.6,33.7,28.7,27.1,16.8,"111,231","112,218","51,797",101.3,5.3,3.28,60.9,8087.266666666666
141,AR,Crawford County,15.5,35.0,31.3,18.2,14.4,"60,133","60,378","54,534",106.6,5.5,3.95,61.3,7429.666666666667
142,AR,Crittenden County,16.3,34.3,31.9,17.4,22.9,"48,163","47,525","47,545",93.0,8.4,3.18,62.7,9896.866666666667
143,AR,Cross County,18.6,40.3,26.4,14.7,21.2,"16,833","16,681","40,587",79.4,6.1,3.33,62.1,6899.266666666666
144,AR,Dallas County,12.8,45.5,30.6,11.0,19.5,"6,482","6,308","34,649",67.7,5.4,3.47,63.2,6392.866666666667
145,AR,Desha County,19.9,45.1,21.0,14.0,22.8,"11,395","11,090","37,421",73.2,7.1,3.03,63.7,6484.066666666667
146,AR,Drew County,13.3,36.9,27.1,22.6,18.4,"17,350","17,110","46,787",91.5,6.9,3.23,63.6,6265.666666666667
147,AR,Faulkner County,7.9,30.7,29.3,32.1,12.0,"123,498","125,106","57,367",112.2,5.5,3.54,61.8,9234.466666666667
148,AR,Franklin County,13.9,42.3,32.5,11.3,15.3,"17,097","17,173","47,256",92.4,5.7,3.93,61.2,6308.866666666667
149,AR,Fulton County,15.6,36.8,34.5,13.2,17.0,"12,075","12,145","39,839",77.9,5.2,3.23,58.2,6431.266666666666
150,AR,Garland County,10.6,31.2,35.4,22.8,15.7,"100,180","100,330","46,459",90.8,8.0,3.78,62.2,7993.666666666667
151,AR,Grant County,9.8,39.5,30.4,20.3,9.9,"17,958","18,090","62,077",121.4,5.2,3.5,63.1,7290.466666666666
152,AR,Greene County,11.0,44.4,27.3,17.3,17.1,"45,736","46,317","53,821",105.2,6.0,3.22,60.4,7566.466666666666
153,AR,Hempstead County,16.0,38.5,29.4,16.0,18.7,"20,065","19,694","42,790",83.7,5.2,3.54,63.8,6145.666666666667
154,AR,Hot Spring County,12.5,38.4,33.7,15.3,14.9,"33,040","33,148","49,582",96.9,5.8,3.68,62.9,6923.266666666666
155,AR,Howard County,14.0,40.0,32.2,13.8,16.7,"12,785","12,698","40,566",79.3,5.0,3.87,62.7,6440.866666666667
156,AR,Independence County,14.4,37.0,30.1,18.5,15.0,"37,938","37,723","50,834",99.4,5.8,3.37,60.3,6188.866666666667
157,AR,Izard County,18.0,35.7,31.7,14.5,20.1,"13,577","13,911","41,787",81.7,8.5,3.25,59.1,6236.866666666667
158,AR,Jackson County,16.8,43.3,28.2,11.7,23.1,"16,755","16,811","40,789",79.8,7.2,3.32,61.0,6395.266666666666
159,AR,Jefferson County,12.6,40.2,29.3,18.0,18.9,"67,260","65,861","40,588",79.4,8.1,3.41,63.3,7360.066666666667
160,AR,Johnson County,20.2,41.4,21.9,16.5,17.3,"25,749","25,845","39,439",77.1,6.3,3.93,60.5,6733.666666666667
161,AR,Lafayette County,21.0,42.5,22.4,14.0,19.8,"6,308","6,163","40,007",78.2,7.7,3.29,64.6,6815.266666666666
162,AR,Lawrence County,16.3,37.4,31.9,14.4,19.2,"16,216","16,292","41,188",80.5,6.2,3.23,60.2,6695.266666666666
163,AR,Lee County,21.8,45.4,24.2,8.7,36.8,"8,600","8,619","32,502",63.5,7.7,3.3,62.8,6882.466666666666
164,AR,Lincoln County,20.7,47.7,23.1,8.5,23.6,"12,941","13,037","47,903",93.7,6.0,3.27,63.4,7360.066666666667
165,AR,Little River County,10.2,43.4,32.0,14.3,16.2,"12,026","11,944","47,125",92.1,6.5,3.65,63.8,6584.866666666667
166,AR,Logan County,13.3,43.7,30.7,12.2,15.8,"21,131","21,215","43,577",85.2,6.7,3.65,61.8,6251.266666666666
167,AR,Lonoke County,10.1,37.5,31.8,20.6,10.9,"74,015","74,722","59,623",116.6,5.6,3.37,62.8,9234.466666666667
168,AR,Madison County,15.5,49.0,23.4,12.1,16.9,"16,521","16,960","45,144",88.3,4.0,3.71,58.6,8591.266666666666
169,AR,Marion County,13.9,34.6,35.4,16.1,19.1,"16,826","16,978","39,888",78.0,6.5,3.23,58.9,6856.066666666667
170,AR,Miller County,14.3,34.6,33.1,18.0,19.2,"42,600","42,649","43,634",85.3,6.9,3.4,64.7,8543.266666666666
171,AR,Mississippi County,17.9,38.8,27.7,15.6,21.0,"40,685","39,661","47,892",93.6,9.1,3.17,61.5,6628.066666666667
172,AR,Monroe County,21.1,42.8,23.4,12.6,23.8,"6,799","6,683","35,833",70.1,6.6,3.29,62.8,6848.866666666667
173,AR,Montgomery County,16.9,33.8,34.2,15.1,18.8,"8,484","8,611","42,751",83.6,7.0,3.86,61.6,6798.466666666666
174,AR,Nevada County,10.5,49.2,28.5,11.9,19.1,"8,310","8,187","41,854",81.8,5.9,3.44,63.9,7391.266666666666
175,AR,Newton County,14.0,37.5,32.6,15.9,18.7,"7,225","7,204","40,698",79.6,5.1,3.7,58.4,6606.466666666666
176,AR,Ouachita County,13.8,40.6,32.2,13.5,20.5,"22,650","22,306","46,374",90.7,6.1,3.34,64.0,6380.866666666667
177,AR,Perry County,10.7,41.7,29.8,17.8,14.7,"10,019","9,964","46,317",90.6,5.6,3.52,62.2,9234.466666666667
178,AR,Phillips County,18.4,31.2,34.9,15.5,22.1,"16,568","15,906","35,167",68.8,9.2,3.24,63.2,7038.466666666666
179,AR,Pike County,15.0,37.0,29.7,18.3,18.6,"10,171","10,066","43,133",84.3,5.9,3.83,62.5,6743.266666666666
180,AR,Poinsett County,19.3,44.8,24.4,11.5,21.2,"22,965","22,660","36,150",70.7,5.6,3.26,61.5,6265.666666666667
181,AR,Polk County,14.8,36.2,33.7,15.3,18.1,"19,221","19,353","42,915",83.9,6.7,4.02,60.9,6714.466666666666
182,AR,Pope County,15.1,33.8,26.4,24.6,14.1,"63,381","63,789","46,350",90.6,5.9,3.81,60.6,7384.066666666667
183,AR,Prairie County,14.1,39.0,31.6,15.3,14.5,"8,282","8,135","48,478",94.8,5.4,3.28,62.8,6280.066666666667
184,AR,Pulaski County,8.7,26.0,30.1,35.2,15.3,"399,125","397,821","56,171",109.8,7.4,3.5,62.7,9234.466666666667
185,AR,Randolph County,15.4,36.0,34.8,13.8,16.3,"18,571","18,865","46,495",90.9,5.9,3.21,59.6,6280.066666666667
186,AR,St. Francis County,18.6,36.4,34.1,10.9,30.1,"23,090","22,739","37,759",73.8,7.9,3.32,62.6,7052.866666666667
187,AR,Saline County,8.7,31.0,32.7,27.6,8.2,"123,416","125,233","70,550",137.9,5.1,3.68,62.5,9234.466666666667
188,AR,Scott County,20.4,40.5,27.1,12.1,17.5,"9,836","9,822","41,230",80.6,4.5,3.69,61.3,6280.066666666667
189,AR,Searcy County,19.2,41.5,28.4,10.9,22.3,"7,828","7,880","33,814",66.1,6.5,3.49,58.8,6558.466666666666
190,AR,Sebastian County,15.8,29.5,31.4,23.3,16.8,"127,799","128,400","48,627",95.1,6.0,3.54,62.0,7429.666666666667
191,AR,Sevier County,24.3,36.5,25.9,13.4,16.7,"15,839","15,783","45,838",89.6,5.9,3.81,63.1,6308.866666666667
192,AR,Sharp County,16.5,40.2,32.8,10.5,18.1,"17,271","17,622","40,437",79.1,7.2,3.22,59.0,6503.266666666666
193,AR,Stone County,20.6,34.0,32.8,12.6,20.1,"12,359","12,481","36,148",70.7,7.1,3.45,59.3,6119.266666666666
194,AR,Union County,13.6,34.7,30.5,21.2,16.9,"39,054","38,340","47,857",93.6,8.4,3.3,64.2,7021.666666666667
195,AR,Van Buren County,15.2,41.3,27.7,15.8,16.4,"15,796","15,694","42,345",82.8,7.2,3.79,59.7,6119.266666666666
196,AR,Washington County,14.5,26.5,25.7,33.2,13.2,"245,871","250,057","57,712",112.8,4.7,3.76,59.4,8591.266666666666
197,AR,White County,14.2,40.4,24.6,20.7,14.8,"76,822","77,207","43,765",85.6,6.3,3.4,61.9,7516.066666666667
198,AR,Woodruff County,17.4,43.3,24.1,15.1,22.6,"6,269","6,116","37,634",73.6,5.8,3.27,62.1,6160.066666666667
199,AR,Yell County,21.7,39.5,25.4,13.3,14.3,"20,263","20,155","48,728",95.3,5.1,3.67,62.0,6733.666666666667
201,CA,Alameda County,11.2,17.0,23.2,48.7,8.6,"1,682,353","1,648,556","113,518",136.8,9.0,0.92,61.5,27685.666666666668
202,CA,Alpine County,4.7,28.7,28.2,38.4,14.3,"1,204","1,235","64,542",77.8,11.7,1.84,45.5,11180.866666666667
203,CA,Amador County,8.8,30.0,43.1,18.1,10.3,"40,474","41,259","68,141",82.1,9.5,1.8,59.9,12980.866666666667
204,CA,Butte County,10.3,22.6,38.8,28.3,17.3,"211,632","208,309","54,718",65.9,9.4,2.39,61.2,13974.466666666667
205,CA,Calaveras County,10.3,29.0,40.8,19.8,11.6,"45,292","46,221","66,329",79.9,7.9,1.76,60.4,11288.866666666667
206,CA,Colusa County,27.2,28.5,29.5,14.9,10.3,"21,839","21,917","59,422",71.6,16.5,1.11,62.7,10674.466666666667
207,CA,Contra Costa County,10.1,17.2,29.3,43.3,7.2,"1,165,927","1,161,413","106,484",128.3,9.1,0.88,62.4,27685.666666666668
208,CA,Del Norte County,20.3,31.7,32.6,15.4,18.5,"27,743","28,100","47,442",57.2,9.7,5.53,53.4,10878.466666666667
209,CA,El Dorado County,6.0,21.1,37.7,35.2,8.4,"191,185","193,221","87,792",105.8,8.5,2.34,56.0,15313.666666666666
210,CA,Fresno County,22.7,22.6,32.6,22.0,17.1,"1,008,654","1,013,581","61,401",74.0,11.7,0.87,56.6,11267.266666666666
211,CA,Glenn County,25.5,27.5,32.5,14.4,12.4,"28,917","28,805","57,779",69.6,9.1,1.34,61.7,8512.066666666668
212,CA,Humboldt County,9.4,23.0,36.7,30.9,15.8,"136,463","136,310","56,071",67.6,8.6,4.01,55.5,11831.266666666666
213,CA,Imperial County,29.8,25.5,29.3,15.4,18.1,"179,702","179,851","47,599",57.3,22.8,0.24,73.8,11060.866666666667
214,CA,Inyo County,9.5,30.9,33.3,26.4,10.9,"19,016","18,970","55,981",67.4,8.0,0.32,61.0,10096.066666666668
215,CA,Kern County,24.7,27.5,30.7,17.1,18.3,"909,235","917,673","58,583",70.6,12.9,0.37,62.3,10919.266666666666
216,CA,Kings County,26.0,26.3,32.7,15.0,14.5,"152,486","153,443","60,319",72.7,12.0,0.36,64.5,11608.066666666668
217,CA,Lake County,13.8,30.1,39.4,16.7,15.9,"68,163","68,766","52,345",63.1,9.8,2.28,59.0,11101.666666666666
218,CA,Lassen County,19.5,31.9,35.9,12.7,15.5,"32,730","33,159","63,803",76.9,7.4,1.29,47.9,9563.266666666666
219,CA,Los Angeles County,20.2,20.4,25.9,33.5,13.2,"10,014,009","9,829,544","75,624",91.1,12.3,0.51,62.4,21776.866666666665
