,State,Area_name,Latitude,Longitude
122,AR,Clay,+36.367302°,–90.418704°
123,AR,Cleburne,+35.566288°,–92.059974°
124,AR,Cleveland,+33.893201°,–92.188714°
125,AR,Columbia,+33.215070°,–93.226901°
126,AR,Conway,+35.265702°,–92.689248°
127,AR,Craighead,+35.828268°,–90.630411°
128,AR,Crawford,+35.583041°,–94.236224°
129,AR,Crittenden,+35.211878°,–90.315331°
130,AR,Cross,+35.291259°,–90.773894°
131,AR,Dallas,+33.967823°,–92.653999°
132,AR,Desha,+33.828748°,–91.244427°
133,AR,Drew,+33.587242°,–91.722778°
134,AR,Faulkner,+35.146356°,–92.324654°
135,AR,Franklin,+35.508573°,–93.887672°
136,AR,Fulton,+36.383443°,–91.819239°
137,AR,Garland,+34.578861°,–93.146915°
138,AR,Grant,+34.288063°,–92.423984°
139,AR,Greene,+36.119922°,–90.565241°
140,AR,Hempstead,+33.728611°,–93.665809°
141,AR,Hot Spring,+34.315177°,–92.944147°
142,AR,Howard,+34.083179°,–93.990988°
143,AR,Independence,+35.737499°,–91.559942°
144,AR,Izard,+36.094879°,–91.913625°
145,AR,Jackson,+35.596605°,–91.223178°
146,AR,Jefferson,+34.277696°,–91.930701°
147,AR,Johnson,+35.573359°,–93.466322°
148,AR,Lafayette,+33.240660°,–93.611643°
149,AR,Lawrence,+36.041098°,–91.101153°
150,AR,Lee,+34.779750°,–90.779288°
151,AR,Lincoln,+33.957665°,–91.727624°
152,AR,Little River,+33.699497°,–94.229774°
153,AR,Logan,+35.218550°,–93.720563°
154,AR,Lonoke,+34.755114°,–91.894132°
155,AR,Madison,+36.012545°,–93.724053°
156,AR,Marion,+36.266656°,–92.678588°
157,AR,Miller,+33.305505°,–93.901509°
158,AR,Mississippi,+35.766943°,–90.052209°
159,AR,Monroe,+34.679513°,–91.203314°
160,AR,Montgomery,+34.545652°,–93.664147°
161,AR,Nevada,+33.666699°,–93.305072°
162,AR,Newton,+35.910063°,–93.215084°
163,AR,Ouachita,+33.591158°,–92.878418°
164,AR,Perry,+34.946363°,–92.926877°
165,AR,Phillips,+34.425842°,–90.848386°
166,AR,Pike,+34.158191°,–93.658659°
167,AR,Poinsett,+35.568981°,–90.680595°
168,AR,Polk,+34.490915°,–94.230884°
169,AR,Pope,+35.455297°,–93.031535°
170,AR,Prairie,+34.828225°,–91.557200°
171,AR,Pulaski,+34.773988°,–92.316515°
172,AR,Randolph,+36.341299°,–91.028441°
173,AR,St. Francis,+35.014438°,–90.742199°
174,AR,Saline,+34.648525°,–92.674463°
175,AR,Scott,+34.858869°,–94.063641°
176,AR,Searcy,+35.909660°,–92.699351°
177,AR,Sebastian,+35.196981°,–94.274989°
178,AR,Sevier,+33.994608°,–94.243290°
179,AR,Sharp,+36.173399°,–91.471069°
180,AR,Stone,+35.856989°,–92.140494°
181,AR,Union,+33.168219°,–92.598145°
182,AR,Van Buren,+35.582959°,–92.515977°
183,AR,Washington,+35.971209°,–94.218417°
184,AR,White,+35.254722°,–91.753158°
185,AR,Woodruff,+35.189071°,–91.244418°
186,AR,Yell,+34.997713°,–93.408303°
187,CA,Alameda,+37.648081°,–121.913304°
188,CA,Alpine,+38.617610°,–119.798999°
189,CA,Amador,+38.443550°,–120.653856°
190,CA,Butte,+39.665959°,–121.601919°
191,CA,Calaveras,+38.187844°,–120.555115°
192,CA,Colusa,+39.177739°,–122.237563°
193,CA,Contra Costa,+37.919479°,–121.951543°
194,CA,Del Norte,+41.749903°,–123.980998°
195,CA,El Dorado,+38.785532°,–120.534398°
196,CA,Fresno,+36.761006°,–119.655019°
197,CA,Glenn,+39.602546°,–122.401700°
198,CA,Humboldt,+40.706673°,–123.925818°
199,CA,Imperial,+33.040816°,–115.355395°
200,CA,Inyo,+36.561977°,–117.403927°
201,CA,Kern,+35.346629°,–118.729506°
202,CA,Kings,+36.072478°,–119.815530°
203,CA,Lake,+39.094802°,–122.746757°
204,CA,Lassen,+40.721089°,–120.629931°
205,CA,Los Angeles,+34.196398°,–118.261862°
206,CA,Madera,+37.210039°,–119.749852°
207,CA,Marin,+38.051817°,–122.745974°
208,CA,Mariposa,+37.570034°,–119.912860°
209,CA,Mendocino,+39.432388°,–123.442881°
210,CA,Merced,+37.194806°,–120.722802°
211,CA,Modoc,+41.592919°,–120.718370°
212,CA,Mono,+37.915836°,–118.875167°
213,CA,Monterey,+36.240107°,–121.315573°
214,CA,Napa,+38.507351°,–122.325995°
215,CA,Nevada,+39.295191°,–120.773446°
216,CA,Orange,+33.675687°,–117.777207°
217,CA,Placer,+39.062032°,–120.722718°
218,CA,Plumas,+39.995170°,–120.829516°
219,CA,Riverside,+33.729828°,–116.002239°
220,CA,Sacramento,+38.450011°,–121.340441°
221,CA,San Benito,+36.610702°,–121.085296°
222,CA,San Bernardino,+34.857220°,–116.181197°
223,CA,San Diego,+33.023604°,–116.776117°
224,CA,San Francisco,+37.727239°,–123.032229°
225,CA,San Joaquin,+37.935034°,–121.272237°
226,CA,San Luis Obispo,+35.385227°,–120.447540°
227,CA,San Mateo,+37.414664°,–122.371542°
228,CA,Santa Barbara,+34.537378°,–120.038485°
229,CA,Santa Clara,+37.220777°,–121.690622°
230,CA,Santa Cruz,+37.012488°,–122.007205°
231,CA,Shasta,+40.760522°,–122.043550°
232,CA,Sierra,+39.576925°,–120.521993°
233,CA,Siskiyou,+41.587986°,–122.533287°
234,CA,Solano,+38.267226°,–121.939594°
235,CA,Sonoma,+38.532574°,–122.945194°
236,CA,Stanislaus,+37.562384°,–121.002656°
237,CA,Sutter,+39.035257°,–121.702758°
238,CA,Tehama,+40.126156°,–122.232276°
239,CA,Trinity,+40.647724°,–123.114404°
240,CA,Tulare,+36.230453°,–118.780542°
241,CA,Tuolumne,+38.021451°,–119.964708°
242,CA,Ventura,+34.358742°,–119.133143°
243,CA,Yolo,+38.679268°,–121.903178°
244,CA,Yuba,+39.270026°,–121.344280°
245,CO,Adams,+39.874325°,–104.331872°
246,CO,Alamosa,+37.568442°,–105.788041°
247,CO,Arapahoe,+39.644632°,–104.331733°
248,CO,Archuleta,+37.202395°,–107.050863°
249,CO,Baca,+37.303144°,–102.535457°
250,CO,Bent,+37.931891°,–103.077584°
251,CO,Boulder,+40.094826°,–105.398382°
252,CO,Broomfield,+39.953383°,–105.052125°
253,CO,Chaffee,+38.738246°,–106.316972°
254,CO,Cheyenne,+38.835387°,–102.604585°
255,CO,Clear Creek,+39.689403°,–105.670791°
256,CO,Conejos,+37.213407°,–106.176447°
257,CO,Costilla,+37.277547°,–105.428940°
258,CO,Crowley,+38.321956°,–103.787562°
259,CO,Custer,+38.101994°,–105.373515°
260,CO,Delta,+38.861756°,–107.864757°
261,CO,Denver,+39.761849°,–104.880625°
262,CO,Dolores,+37.747602°,–108.530383°
263,CO,Douglas,+39.326435°,–104.926199°
264,CO,Eagle,+39.630638°,–106.692944°
265,CO,Elbert,+39.310817°,–104.117928°
266,CO,El Paso,+38.827383°,–104.527472°
267,CO,Fremont,+38.455658°,–105.421438°
268,CO,Garfield,+39.599352°,–107.909780°
269,CO,Gilpin,+39.861082°,–105.528947°
270,CO,Grand,+40.123289°,–106.095876°
271,CO,Gunnison,+38.669679°,–107.078108°
272,CO,Hinsdale,+37.811625°,–107.383405°
273,CO,Huerfano,+37.687815°,–104.959928°
274,CO,Jackson,+40.663432°,–106.329248°
275,CO,Jefferson,+39.586460°,–105.245601°
276,CO,Kiowa,+38.388466°,–102.756210°
277,CO,Kit Carson,+39.305340°,–102.603023°
278,CO,Lake,+39.204316°,–106.349696°
279,CO,La Plata,+37.287367°,–107.839718°
280,CO,Larimer,+40.663091°,–105.482131°
281,CO,Las Animas,+37.318831°,–104.044110°
282,CO,Lincoln,+38.993740°,–103.507555°
283,CO,Logan,+40.728091°,–103.090464°
284,CO,Mesa,+39.019492°,–108.461837°
285,CO,Mineral,+37.651478°,–106.932300°
286,CO,Moffat,+40.573984°,–108.204521°
287,CO,Montezuma,+37.338025°,–108.595786°
288,CO,Montrose,+38.413427°,–108.263042°
289,CO,Morgan,+40.262354°,–103.807092°
290,CO,Otero,+37.884170°,–103.721260°
291,CO,Ouray,+38.150600°,–107.767133°
292,CO,Park,+39.118914°,–105.717648°
293,CO,Phillips,+40.594712°,–102.345105°
294,CO,Pitkin,+39.217533°,–106.915943°
295,CO,Prowers,+37.958181°,–102.392161°
296,CO,Pueblo,+38.170658°,–104.489893°
297,CO,Rio Blanco,+39.972606°,–108.200685°
298,CO,Rio Grande,+37.485763°,–106.453214°
299,CO,Routt,+40.483160°,–106.985289°
300,CO,Saguache,+38.033952°,–106.246675°
301,CO,San Juan,+37.781075°,–107.670257°
302,CO,San Miguel,+38.009374°,–108.427326°
303,CO,Sedgwick,+40.871568°,–102.355358°
304,CO,Summit,+39.621023°,–106.137555°
305,CO,Teller,+38.871994°,–105.182552°
306,CO,Washington,+39.965413°,–103.209605°
307,CO,Weld,+40.555794°,–104.383649°
308,CO,Yuma,+40.000631°,–102.422649°
309,CT,Fairfield [6],+41.228103°,–73.366757°
310,CT,Hartford [6],+41.806053°,–72.732916°
311,CT,Litchfield [6],+41.791897°,–73.235428°
312,CT,Middlesex [6],+41.434525°,–72.524227°
313,CT,New Haven [6],+41.349717°,–72.900204°
314,CT,New London [6],+41.478630°,–72.103452°
315,CT,Tolland [6],+41.858076°,–72.340977°
316,CT,Windham [6],+41.824999°,–71.990702°
317,DE,Kent,+39.097088°,–75.502982°
318,DE,New Castle,+39.575915°,–75.644132°
319,DE,Sussex,+38.677511°,–75.335495°
320,DC,District of Columbia [7],+38.904149°,–77.017094°
321,FL,Alachua,+29.675740°,–82.357221°
322,FL,Baker,+30.324442°,–82.302284°
323,FL,Bay,+30.237563°,–85.631348°
324,FL,Bradford,+29.946934°,–82.166796°
325,FL,Brevard,+28.298276°,–80.700384°
326,FL,Broward,+26.193520°,–80.476658°
327,FL,Calhoun,+30.388801°,–85.197916°
328,FL,Charlotte,+26.868826°,–81.940858°
329,FL,Citrus,+28.843628°,–82.524796°
330,FL,Clay,+29.987116°,–81.858147°
331,FL,Collier,+26.118713°,–81.400884°
332,FL,Columbia,+30.221305°,–82.623127°
333,FL,DeSoto,+27.190581°,–81.806253°
334,FL,Dixie,+29.580899°,–83.195666°
335,FL,Duval,+30.335245°,–81.648113°
336,FL,Escambia,+30.611664°,–87.339040°
337,FL,Flagler,+29.474894°,–81.286362°
338,FL,Franklin,+29.810176°,–84.799174°
339,FL,Gadsden,+30.579170°,–84.612783°
340,FL,Gilchrist,+29.723456°,–82.795801°
341,FL,Glades,+26.954810°,–81.190820°
342,FL,Gulf,+29.907257°,–85.256537°
343,FL,Hamilton,+30.491102°,–82.951049°
344,FL,Hardee,+27.492846°,–81.821580°
345,FL,Hendry,+26.539340°,–81.151584°
346,FL,Hernando,+28.567911°,–82.464835°
347,FL,Highlands,+27.342627°,–81.340921°
348,FL,Hillsborough,+27.906590°,–82.349568°
349,FL,Holmes,+30.866222°,–85.812959°
350,FL,Indian River,+27.700638°,–80.574803°
351,FL,Jackson,+30.787812°,–85.210374°
352,FL,Jefferson,+30.424558°,–83.890859°
353,FL,Lafayette,+29.990066°,–83.178510°
354,FL,Lake,+28.764113°,–81.712282°
355,FL,Lee,+26.552134°,–81.892250°
356,FL,Leon,+30.459310°,–84.277800°
357,FL,Levy,+29.284409°,–82.783483°
358,FL,Liberty,+30.259849°,–84.868581°
359,FL,Madison,+30.447228°,–83.470437°
360,FL,Manatee,+27.481386°,–82.365784°
361,FL,Marion,+29.202805°,–82.043100°
362,FL,Martin,+27.079954°,–80.398211°
363,FL,Miami-Dade,+25.610494°,–80.499045°
364,FL,Monroe,+25.601043°,–81.206777°
365,FL,Nassau,+30.605926°,–81.764929°
366,FL,Okaloosa,+30.665858°,–86.594194°
367,FL,Okeechobee,+27.385592°,–80.887388°
368,FL,Orange,+28.514435°,–81.323295°
369,FL,Osceola,+28.059027°,–81.139312°
370,FL,Palm Beach,+26.645763°,–80.448673°
371,FL,Pasco,+28.302024°,–82.455707°
372,FL,Pinellas,+27.903122°,–82.739518°
373,FL,Polk,+27.953115°,–81.692783°
374,FL,Putnam,+29.606006°,–81.740894°
375,FL,St. Johns,+29.890593°,–81.383914°
376,FL,St. Lucie,+27.380775°,–80.443364°
377,FL,Santa Rosa,+30.703633°,–87.014255°
378,FL,Sarasota,+27.184386°,–82.365835°
379,FL,Seminole,+28.690079°,–81.131980°
380,FL,Sumter,+28.714294°,–82.074715°
381,FL,Suwannee,+30.189244°,–82.992754°
382,FL,Taylor,+30.016943°,–83.616417°
383,FL,Union,+30.054280°,–82.366918°
384,FL,Volusia,+29.057617°,–81.161813°
385,FL,Wakulla,+30.140378°,–84.375136°
386,FL,Walton,+30.631211°,–86.176614°
387,FL,Washington,+30.602217°,–85.662797°
388,GA,Appling,+31.739712°,–82.290103°
389,GA,Atkinson,+31.300562°,–82.883614°
390,GA,Bacon,+31.563327°,–82.387859°
391,GA,Baker,+31.319622°,–84.454857°
392,GA,Baldwin,+33.059532°,–83.255362°
393,GA,Banks,+34.351922°,–83.498441°
394,GA,Barrow,+33.992009°,–83.712303°
395,GA,Bartow,+34.240918°,–84.838188°
396,GA,Ben Hill,+31.740776°,–83.147190°
397,GA,Berrien,+31.274308°,–83.231906°
398,GA,Bibb,+32.808844°,–83.694193°
399,GA,Bleckley,+32.435403°,–83.331717°
400,GA,Brantley,+31.197334°,–81.982978°
401,GA,Brooks,+30.833696°,–83.588971°
402,GA,Bryan,+32.017969°,–81.438543°
403,GA,Bulloch,+32.393408°,–81.743810°
404,GA,Burke,+33.063737°,–82.003890°
405,GA,Butts,+33.290355°,–83.958221°
406,GA,Calhoun,+31.521279°,–84.626290°
407,GA,Camden,+30.916358°,–81.636516°
408,GA,Candler,+32.403986°,–82.071446°
409,GA,Carroll,+33.582237°,–85.080527°
410,GA,Catoosa,+34.899393°,–85.137353°
411,GA,Charlton,+30.779904°,–82.139644°
412,GA,Chatham,+31.974756°,–81.091768°
413,GA,Chattahoochee,+32.347445°,–84.788021°
414,GA,Chattooga,+34.474179°,–85.345289°
415,GA,Cherokee,+34.244317°,–84.475057°
416,GA,Clarke,+33.952234°,–83.367130°
417,GA,Clay,+31.619831°,–84.992583°
418,GA,Clayton,+33.552242°,–84.412977°
419,GA,Clinch,+30.917653°,–82.702614°
420,GA,Cobb,+33.939940°,–84.574166°
421,GA,Coffee,+31.549245°,–82.844938°
422,GA,Colquitt,+31.189758°,–83.769741°
423,GA,Columbia,+33.550556°,–82.251342°
424,GA,Cook,+31.152935°,–83.429552°
425,GA,Coweta,+33.352897°,–84.762138°
426,GA,Crawford,+32.709446°,–83.979182°
427,GA,Crisp,+31.914753°,–83.753338°
428,GA,Dade,+34.852424°,–85.506201°
429,GA,Dawson,+34.442842°,–84.173284°
430,GA,Decatur,+30.877961°,–84.577744°
431,GA,DeKalb,+33.770661°,–84.226343°
432,GA,Dodge,+32.160656°,–83.156818°
433,GA,Dooly,+32.151995°,–83.807167°
434,GA,Dougherty,+31.535068°,–84.214444°
435,GA,Douglas,+33.699317°,–84.765944°
436,GA,Early,+31.324191°,–84.906723°
437,GA,Echols,+30.708500°,–82.836132°
438,GA,Effingham,+32.361711°,–81.343337°
439,GA,Elbert,+34.115017°,–82.842057°
440,GA,Emanuel,+32.591100°,–82.299763°
441,GA,Evans,+32.151902°,–81.887618°
442,GA,Fannin,+34.863837°,–84.319287°
443,GA,Fayette,+33.412717°,–84.493941°
444,GA,Floyd,+34.263677°,–85.213730°
445,GA,Forsyth,+34.225143°,–84.127336°
446,GA,Franklin,+34.375155°,–83.227291°
447,GA,Fulton,+33.790034°,–84.468182°
448,GA,Gilmer,+34.690541°,–84.453984°
449,GA,Glascock,+33.227491°,–82.606913°
450,GA,Glynn,+31.212747°,–81.496517°
451,GA,Gordon,+34.509667°,–84.873862°
452,GA,Grady,+30.875863°,–84.244772°
453,GA,Greene,+33.576836°,–83.167103°
454,GA,Gwinnett,+33.959101°,–84.022938°
455,GA,Habersham,+34.635108°,–83.526406°
456,GA,Hall,+34.317588°,–83.818497°
457,GA,Hancock,+33.269220°,–83.000465°
458,GA,Haralson,+33.795165°,–85.220062°
459,GA,Harris,+32.731549°,–84.912432°
460,GA,Hart,+34.348733°,–82.963290°
461,GA,Heard,+33.290968°,–85.139594°
462,GA,Henry,+33.452881°,–84.154440°
463,GA,Houston,+32.458381°,–83.662856°
464,GA,Irwin,+31.604306°,–83.277037°
465,GA,Jackson,+34.134157°,–83.565133°
466,GA,Jasper,+33.314905°,–83.687892°
467,GA,Jeff Davis,+31.811615°,–82.636825°
468,GA,Jefferson,+33.051874°,–82.419050°
469,GA,Jenkins,+32.794563°,–81.971524°
470,GA,Johnson,+32.689831°,–82.661354°
471,GA,Jones,+33.020226°,–83.562339°
472,GA,Lamar,+33.074460°,–84.146721°
473,GA,Lanier,+31.038197°,–83.063164°
474,GA,Laurens,+32.393220°,–82.926317°
475,GA,Lee,+31.818419°,–84.146681°
476,GA,Liberty,+31.807245°,–81.457969°
477,GA,Lincoln,+33.792151°,–82.448299°
478,GA,Long,+31.749563°,–81.742870°
479,GA,Lowndes,+30.833680°,–83.268967°
480,GA,Lumpkin,+34.568149°,–83.998828°
481,GA,McDuffie,+33.482464°,–82.473188°
482,GA,McIntosh,+31.482978°,–81.370199°
483,GA,Macon,+32.366216°,–84.052162°
484,GA,Madison,+34.128486°,–83.203637°
485,GA,Marion,+32.359538°,–84.529561°
486,GA,Meriwether,+33.030220°,–84.663279°
487,GA,Miller,+31.162908°,–84.730386°
488,GA,Mitchell,+31.228940°,–84.192407°
489,GA,Monroe,+33.017435°,–83.922938°
490,GA,Montgomery,+32.172108°,–82.533349°
491,GA,Morgan,+33.593732°,–83.492324°
492,GA,Murray,+34.797097°,–84.737990°
493,GA,Muscogee,+32.510197°,–84.874946°
494,GA,Newton,+33.544046°,–83.855189°
495,GA,Oconee,+33.834125°,–83.437728°
496,GA,Oglethorpe,+33.866806°,–83.074081°
497,GA,Paulding,+33.920903°,–84.866979°
498,GA,Peach,+32.571324°,–83.831978°
499,GA,Pickens,+34.456621°,–84.490256°
500,GA,Pierce,+31.353988°,–82.210427°
501,GA,Pike,+33.090769°,–84.386627°
502,GA,Polk,+33.995961°,–85.186826°
503,GA,Pulaski,+32.238794°,–83.481855°
504,GA,Putnam,+33.321061°,–83.371790°
505,GA,Quitman,+31.861487°,–85.009317°
506,GA,Rabun,+34.883026°,–83.404735°
507,GA,Randolph,+31.762651°,–84.752311°
508,GA,Richmond,+33.361487°,–82.074998°
509,GA,Rockdale,+33.652081°,–84.026370°
510,GA,Schley,+32.263441°,–84.322724°
511,GA,Screven,+32.744751°,–81.617585°
512,GA,Seminole,+30.933894°,–84.867592°
513,GA,Spalding,+33.262389°,–84.286067°
514,GA,Stephens,+34.552914°,–83.290216°
515,GA,Stewart,+32.073225°,–84.834912°
516,GA,Sumter,+32.042203°,–84.204283°
517,GA,Talbot,+32.704603°,–84.530029°
518,GA,Taliaferro,+33.559314°,–82.875208°
519,GA,Tattnall,+32.043768°,–82.059208°
520,GA,Taylor,+32.554667°,–84.251426°
521,GA,Telfair,+31.913639°,–82.931062°
522,GA,Terrell,+31.777191°,–84.439446°
523,GA,Thomas,+30.864616°,–83.919783°
524,GA,Tift,+31.457003°,–83.525931°
525,GA,Toombs,+32.126698°,–82.332071°
526,GA,Towns,+34.902650°,–83.732158°
527,GA,Treutlen,+32.409586°,–82.570882°
528,GA,Troup,+33.034482°,–85.028360°
529,GA,Turner,+31.718232°,–83.628567°
530,GA,Twiggs,+32.665847°,–83.425879°
531,GA,Union,+34.833770°,–83.989573°
532,GA,Upson,+32.881837°,–84.292281°
533,GA,Walker,+34.735827°,–85.305385°
534,GA,Walton,+33.782649°,–83.734215°
535,GA,Ware,+31.050881°,–82.421507°
536,GA,Warren,+33.419169°,–82.688012°
537,GA,Washington,+32.971848°,–82.798112°
538,GA,Wayne,+31.547845°,–81.912376°
539,GA,Webster,+32.046554°,–84.553218°
540,GA,Wheeler,+32.109276°,–82.738701°
541,GA,White,+34.643677°,–83.743713°
542,GA,Whitfield,+34.801726°,–84.968541°
543,GA,Wilcox,+31.962717°,–83.438262°
544,GA,Wilkes,+33.779040°,–82.747922°
545,GA,Wilkinson,+32.804321°,–83.175587°
546,GA,Worth,+31.551773°,–83.849960°
547,HI,Hawaiʻi,+19.597764°,–155.502443°
548,HI,Honolulu,+21.461364°,–158.201976°
549,HI,Kalawao [8],+21.218764°,–156.974010°
550,HI,Kauaʻi,+22.012038°,–159.705965°
551,HI,Maui,+20.855931°,–156.601550°
552,ID,Ada,+43.447861°,–116.244456°
553,ID,Adams,+44.884583°,–116.431873°
554,ID,Bannock,+42.692939°,–112.228986°
555,ID,Bear Lake,+42.285833°,–111.327445°
556,ID,Benewah,+47.218451°,–116.633541°
557,ID,Bingham,+43.216357°,–112.399206°
558,ID,Blaine,+43.394482°,–113.955290°
559,ID,Boise,+43.987275°,–115.715111°
560,ID,Bonner,+48.312512°,–116.596940°
561,ID,Bonneville,+43.395171°,–111.621878°
562,ID,Boundary,+48.773065°,–116.524619°
563,ID,Butte,+43.685100°,–113.177627°
564,ID,Camas,+43.463396°,–114.804427°
565,ID,Canyon,+43.623051°,–116.708527°
566,ID,Caribou,+42.786273°,–111.544172°
567,ID,Cassia,+42.288635°,–113.605498°
568,ID,Clark,+44.286251°,–112.361120°
569,ID,Clearwater,+46.672570°,–115.653500°
570,ID,Custer,+44.273341°,–114.252251°
571,ID,Elmore,+43.394826°,–115.470751°
572,ID,Franklin,+42.173589°,–111.822955°
573,ID,Fremont,+44.218091°,–111.484429°
574,ID,Gem,+44.061473°,–116.398784°
